Item type,Item ID,Compiler #,Cockpit priority,Urgency score,Phase,Suggested decision,Chapter or lane,Date,Title,Release or status,Pages,NAID or targets,Decision question,Next action,Pending tasks,Linked sheets,Source note or need,Catalog URL,PDF URL
Potential lead,catalog-lead-645607531,,High,94,Fix page boundaries,Screen for promotion,Pakistan,1989-01-20,Pakistan [A],High-priority source review lead; Online object available,,645607531,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Partly restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; High boundary #23: Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?; Page-boundary citation verification: Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.; Promotion screening: The lead is high-priority and may change chapter balance once page boundaries, title, and source note are stable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Pakistan [A]. Access restriction: Restricted - Partly.",https://catalog.archives.gov/id/645607531,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31820-001.pdf
Potential lead,catalog-lead-645607533,,High,94,Fix page boundaries,Screen for promotion,Pakistan,1989-01-20,Pakistan [B],High-priority source review lead; Online object available,,645607533,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Partly restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; High boundary #25: Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?; Page-boundary citation verification: Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.; Promotion screening: The lead is high-priority and may change chapter balance once page boundaries, title, and source note are stable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Pakistan [B]. Access restriction: Restricted - Partly.",https://catalog.archives.gov/id/645607533,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31820-002.pdf
Potential lead,catalog-lead-645607907,,High,94,Fix page boundaries,Screen for promotion,Pakistan,1989-01-20,Pakistan [B],High-priority source review lead; Online object available,,645607907,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Partly restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; High boundary #25: Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?; Page-boundary citation verification: Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.; Promotion screening: The lead is high-priority and may change chapter balance once page boundaries, title, and source note are stable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Pakistan [B]. Access restriction: Restricted - Partly.",https://catalog.archives.gov/id/645607907,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31836-006.pdf
Potential lead,catalog-lead-470437053,,High,94,Fix page boundaries,Screen for promotion,Pakistan,1989-01-20,Pakistan-India,High-priority source review lead; Online object available,,470437053,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; High boundary #27: Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?; Page-boundary citation verification: Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.; Promotion screening: The lead is high-priority and may change chapter balance once page boundaries, title, and source note are stable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Robert M. Gates' Subject Files, Pakistan-India. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470437053,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/gates/subject_2554843/41-bpr-nsc-gates-subj-cf00946-012.pdf
Chapter lane,"Afghanistan:Afghanistan policy, civil war, and aid",,High,88,Close chapter lane,Resolve lane before volume close,Afghanistan,1989-01-01 to 1992-10-07,"Afghanistan policy, civil war, and aid",Access-heavy,425 pages,Critical: Recover page-level boundaries in Haass and meeting-file PDFs; High: Screen Cheney Country Files before closing the source search,"Can this lane be closed as selected, excluded, deferred, cite-only, or consciously out of scope?","Finish page-boundary screening in Haass and Cheney files, then decide which restricted NSC/H-Files records become selected documents or cite-only context. Gap cue: Prioritize Haass Working Files 470426597, Haass Meeting File 470426255, Mojaddedi 470426381, Bangladesh Zia 428082145, and Pakistan nuclear meeting files 470426231, 470426238, and 470426240.",Confirmed records: 21; Potential leads: 12; Related gaps: 2; Search terms: afghanistan; afghan; mujahideen; mojaddedi; non-lethal; humanitarian; resistance; kabul,compiler-chapter-matrix.md; compiler-gap-analysis.md; compiler-gap-packets.md,,,
Chapter lane,Regional:Kashmir cross-border crisis,,High,88,Close chapter lane,Resolve lane before volume close,Regional,1989-01-20 to 1990-03-26,Kashmir cross-border crisis,Lead-only lane,,"High: Build an India policy lane beyond leader conversations; High: Split the Regional lane into Kashmir, Bangladesh, and other South Asia tracks","Can this lane be closed as selected, excluded, deferred, cite-only, or consciously out of scope?","Screen the Kashmir letters and teleconference leads, then decide whether the material belongs in India, Pakistan, or a regional crisis sub-lane. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.",Confirmed records: 0; Potential leads: 2; Related gaps: 2; Search terms: kashmir,compiler-chapter-matrix.md; compiler-gap-analysis.md; compiler-gap-packets.md,,,
Chapter lane,India:India leadership and bilateral policy,,High,88,Close chapter lane,Resolve lane before volume close,India,1989-01-20 to 1992-02-24,India leadership and bilateral policy,Gap-linked review,122 pages,"High: Build an India policy lane beyond leader conversations; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering","Can this lane be closed as selected, excluded, deferred, cite-only, or consciously out of scope?","Build staff-file support for the leadership chronology, especially around the 1991-1992 transition to Rao-era policy. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.",Confirmed records: 10; Potential leads: 8; Related gaps: 3; Search terms: india; gandhi; singh; rao; venkataraman; shankar; pickering; new delhi,compiler-chapter-matrix.md; compiler-gap-analysis.md; compiler-gap-packets.md,,,
Chapter lane,Regional:Regional South Asia strategy,,High,88,Close chapter lane,Resolve lane before volume close,Regional,1989-01-20 to 1992-11-02,Regional South Asia strategy,Gap-linked review,252 pages,"High: Split the Regional lane into Kashmir, Bangladesh, and other South Asia tracks; Medium: Curate Public Papers as locators, not automatic document candidates","Can this lane be closed as selected, excluded, deferred, cite-only, or consciously out of scope?",Keep true regionwide strategy files distinct from Kashmir and Bangladesh so selection rationale stays clear. Gap cue: Promote Kashmir leads 470426145 and 470426225 into a focused review queue.,Confirmed records: 5; Potential leads: 5; Related gaps: 2; Search terms: south asia; regional; refugee,compiler-chapter-matrix.md; compiler-gap-analysis.md; compiler-gap-packets.md,,,
Chapter lane,"Pakistan:Pakistan leadership, aid, and bilateral management",,High,88,Close chapter lane,Resolve lane before volume close,Pakistan,1989-01-20 to 1992-12-03,"Pakistan leadership, aid, and bilateral management",Gap-linked review,348 pages,"Critical: Recover page-level boundaries in Haass and meeting-file PDFs; High: Build an India policy lane beyond leader conversations; High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering; Medium: Curate Public Papers as locators, not automatic document candidates","Can this lane be closed as selected, excluded, deferred, cite-only, or consciously out of scope?","Separate policy-bearing presidential conversations from public/context locators and verify source notes against the PDF or citation sheet. Gap cue: Prioritize Haass Working Files 470426597, Haass Meeting File 470426255, Mojaddedi 470426381, Bangladesh Zia 428082145, and Pakistan nuclear meeting files 470426231, 470426238, and 470426240.",Confirmed records: 26; Potential leads: 10; Related gaps: 6; Search terms: pakistan; bhutto; nawaz; sharif; ghulam; disaster; assistance; aid,compiler-chapter-matrix.md; compiler-gap-analysis.md; compiler-gap-packets.md,,,
Chapter lane,"Pakistan:Pakistan nuclear, sanctions, and security",,High,88,Close chapter lane,Resolve lane before volume close,Pakistan,1990-10-09 to 1993-01-19,"Pakistan nuclear, sanctions, and security",Access-heavy,185 pages,"Critical: Recover page-level boundaries in Haass and meeting-file PDFs; High: Build an India policy lane beyond leader conversations; High: Pair the Pakistan nuclear sequence with non-H-Files sources; Medium: Curate Public Papers as locators, not automatic document candidates","Can this lane be closed as selected, excluded, deferred, cite-only, or consciously out of scope?","Pair the restricted H-Files nuclear sequence with Gates, Cheney, and Haass companion files before treating the 1990 policy arc as complete. Gap cue: Prioritize Haass Working Files 470426597, Haass Meeting File 470426255, Mojaddedi 470426381, Bangladesh Zia 428082145, and Pakistan nuclear meeting files 470426231, 470426238, and 470426240.",Confirmed records: 3; Potential leads: 1; Related gaps: 4; Search terms: nuclear; nonproliferation; proliferation; pressler; f-16; stinger; sanctions,compiler-chapter-matrix.md; compiler-gap-analysis.md; compiler-gap-packets.md,,,
Chapter lane,"India:India economic reform, trade, and embassy files",,High,88,Close chapter lane,Resolve lane before volume close,India,,"India economic reform, trade, and embassy files",Missing lane,,"High: Build an India policy lane beyond leader conversations; Medium: Curate Public Papers as locators, not automatic document candidates","Can this lane be closed as selected, excluded, deferred, cite-only, or consciously out of scope?","Use this as a search lane for WHORM, State, and embassy files; do not close the India chapter until this lane has been consciously ruled in or out. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.",Confirmed records: 0; Potential leads: 0; Related gaps: 2; Search terms: economic reform; trade; economic; embassy; commerce,compiler-chapter-matrix.md; compiler-gap-analysis.md; compiler-gap-packets.md,,,
Chapter lane,"India:India Kashmir, nuclear, and regional security",,High,88,Close chapter lane,Resolve lane before volume close,India,,"India Kashmir, nuclear, and regional security",Missing lane,,"Critical: Recover page-level boundaries in Haass and meeting-file PDFs; High: Build an India policy lane beyond leader conversations; High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Split the Regional lane into Kashmir, Bangladesh, and other South Asia tracks; Medium: Curate Public Papers as locators, not automatic document candidates","Can this lane be closed as selected, excluded, deferred, cite-only, or consciously out of scope?","Screen Kashmir, Gates, and Haass leads so the India chapter is not limited to leader calls and Cheney country folders. Gap cue: Prioritize Haass Working Files 470426597, Haass Meeting File 470426255, Mojaddedi 470426381, Bangladesh Zia 428082145, and Pakistan nuclear meeting files 470426231, 470426238, and 470426240.",Confirmed records: 0; Potential leads: 0; Related gaps: 5; Search terms: kashmir; nuclear; nonproliferation; defense,compiler-chapter-matrix.md; compiler-gap-analysis.md; compiler-gap-packets.md,,,
Confirmed record,bush-library-428079777,2.001,Medium,84,Finalize source note,Review before selection,Pakistan,1989-01-23,Memorandum of Telephone Conversation,Full,1 page,428079777; [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.","Medium boundary #63: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Citation sheet/title-page verification: Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.; Page-boundary/source-note decision: The document is available, but source title, source note, or page-boundary evidence still needs compiler review.",compiler-decision-log.csv; compiler-selection-board.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989. Full release.",https://catalog.archives.gov/id/428079777,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-23--Bhutto.pdf
Confirmed record,bush-library-428079809,2.002,Medium,84,Finalize source note,Review before selection,Pakistan,1989-01-25,Memorandum of Telephone Conversation,Full,1 page,428079809; [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.","Medium boundary #64: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Citation sheet/title-page verification: Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.; Page-boundary/source-note decision: The document is available, but source title, source note, or page-boundary evidence still needs compiler review.",compiler-decision-log.csv; compiler-selection-board.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989. Full release.",https://catalog.archives.gov/id/428079809,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-25--Khan.pdf
Confirmed record,bush-library-428079855,3.001,Medium,84,Finalize source note,Review before selection,India,1989-02-23,Memorandum of Conversation,Full,9 pages,428079855; [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.","Medium boundary #66: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Citation sheet/title-page verification: Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.; Page-boundary/source-note decision: The document is available, but source title, source note, or page-boundary evidence still needs compiler review.",compiler-decision-log.csv; compiler-selection-board.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989. Full release.",https://catalog.archives.gov/id/428079855,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-23--Venkataraman.pdf
Confirmed record,bush-library-428079859,2.003,Medium,84,Finalize source note,Review before selection,Pakistan,1989-02-24,Memorandum of Conversation,Full,7 pages,428079859; [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.","Medium boundary #67: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Citation sheet/title-page verification: Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.; Page-boundary/source-note decision: The document is available, but source title, source note, or page-boundary evidence still needs compiler review.",compiler-decision-log.csv; compiler-selection-board.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989. Full release.",https://catalog.archives.gov/id/428079859,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-24--Bhutto.pdf
Confirmed record,bush-library-428080057,3.004,Medium,84,Finalize source note,Review before selection,India,1989-06-08,Memorandum of Telephone Conversation,Full,4 pages,428080057; [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.","Medium boundary #78: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Citation sheet/title-page verification: Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.; Page-boundary/source-note decision: The document is available, but source title, source note, or page-boundary evidence still needs compiler review.",compiler-decision-log.csv; compiler-selection-board.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989. Full release.",https://catalog.archives.gov/id/428080057,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-06-08--Gandhi.pdf
Confirmed record,bush-library-428080061,2.009,Medium,84,Finalize source note,Review before selection,Pakistan,1989-06-10,Memorandum of Telephone Conversation,Full,1 page,428080061; [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.","Medium boundary #69: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Citation sheet/title-page verification: Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.; Page-boundary/source-note decision: The document is available, but source title, source note, or page-boundary evidence still needs compiler review.",compiler-decision-log.csv; compiler-selection-board.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989. Full release.",https://catalog.archives.gov/id/428080061,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-06-10--Bhutto.pdf
Confirmed record,bush-library-428080113,3.005,Medium,84,Finalize source note,Review before selection,India,1989-07-04,Memorandum of Telephone Conversation,Full,2 pages,428080113; [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: July 1989,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.","Medium boundary #70: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Citation sheet/title-page verification: Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.; Page-boundary/source-note decision: The document is available, but source title, source note, or page-boundary evidence still needs compiler review.",compiler-decision-log.csv; compiler-selection-board.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: July 1989. Full release.",https://catalog.archives.gov/id/428080113,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-07-04--Gandhi.pdf
Confirmed record,bush-library-428080169,2.010,Medium,84,Finalize source note,Review before selection,Pakistan,1989-08-05,Memorandum of Telephone Conversation,Full,2 pages,428080169; [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.","Medium boundary #71: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Citation sheet/title-page verification: Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.; Page-boundary/source-note decision: The document is available, but source title, source note, or page-boundary evidence still needs compiler review.",compiler-decision-log.csv; compiler-selection-board.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989. Full release.",https://catalog.archives.gov/id/428080169,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-08-05--Bhutto.pdf
Confirmed record,bush-library-428080301,3.006,Medium,84,Finalize source note,Review before selection,India,1989-10-18,Memorandum of Telephone Conversation,Full,1 page,428080301; [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: October 1989,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.","Medium boundary #73: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Citation sheet/title-page verification: Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.; Page-boundary/source-note decision: The document is available, but source title, source note, or page-boundary evidence still needs compiler review.",compiler-decision-log.csv; compiler-selection-board.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: October 1989. Full release.",https://catalog.archives.gov/id/428080301,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-10-18--Gandhi.pdf
Confirmed record,bush-library-428080317,2.011,Medium,84,Finalize source note,Review before selection,Pakistan,1989-11-01,Memorandum of Telephone Conversation,Full,3 pages,428080317; [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.","Medium boundary #79: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Citation sheet/title-page verification: Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.; Page-boundary/source-note decision: The document is available, but source title, source note, or page-boundary evidence still needs compiler review.",compiler-decision-log.csv; compiler-selection-board.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989. Full release.",https://catalog.archives.gov/id/428080317,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-11-01--Bhutto.pdf
Confirmed record,bush-library-428081099,4.005,Medium,84,Finalize source note,Review before selection,Regional,1990-10-01,Memorandum of Conversation,Full,5 pages,428081099; [Memorandum of Conversations (Memcons)-July 1990-December 1990]: October 1990,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.","Medium boundary #74: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Citation sheet/title-page verification: Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.; Page-boundary/source-note decision: The document is available, but source title, source note, or page-boundary evidence still needs compiler review.",compiler-decision-log.csv; compiler-selection-board.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-July 1990-December 1990]: October 1990. Full release.",https://catalog.archives.gov/id/428081099,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-10-01--Ershad.pdf
Confirmed record,bush-library-428081443,3.008,Medium,84,Finalize source note,Review before selection,India,1991-02-08,Memorandum of Telephone Conversation,Full,4 pages,428081443; [Memorandum of Telephone Conversations (Telcons) - January 1991-April 1991]:  February 1991 [1],"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.","Medium boundary #80: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Citation sheet/title-page verification: Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.; Page-boundary/source-note decision: The document is available, but source title, source note, or page-boundary evidence still needs compiler review.",compiler-decision-log.csv; compiler-selection-board.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1991-April 1991]: February 1991 [1]. Full release.",https://catalog.archives.gov/id/428081443,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-02-08--Shankar.pdf
Confirmed record,bush-library-428082103,3.009,Medium,84,Finalize source note,Review before selection,India,1991-12-15,Memorandum of Telephone Conversation,Full,1 page,428082103; [Memorandum of Telephone Conversations (Telcons) - May 1991-December 1991]:  December 1991,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.","Medium boundary #75: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Citation sheet/title-page verification: Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.; Page-boundary/source-note decision: The document is available, but source title, source note, or page-boundary evidence still needs compiler review.",compiler-decision-log.csv; compiler-selection-board.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - May 1991-December 1991]: December 1991. Full release.",https://catalog.archives.gov/id/428082103,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-12-15--Rao.pdf
Chapter lane,Regional:Bangladesh and smaller South Asia states,,Medium,66,Close chapter lane,Resolve lane before volume close,Regional,1989-01-20 to 1992-03-19,Bangladesh and smaller South Asia states,Thin; promote or exclude leads,6 pages,"Critical: Recover page-level boundaries in Haass and meeting-file PDFs; High: Screen Cheney Country Files before closing the source search; High: Split the Regional lane into Kashmir, Bangladesh, and other South Asia tracks; Medium: Audit source notes, titles, and provenance before final numbering","Can this lane be closed as selected, excluded, deferred, cite-only, or consciously out of scope?","Resolve the Bangladesh Zia internal/public pair and keep Sri Lanka/Maldives public items contextual until internal files are located. Gap cue: Prioritize Haass Working Files 470426597, Haass Meeting File 470426255, Mojaddedi 470426381, Bangladesh Zia 428082145, and Pakistan nuclear meeting files 470426231, 470426238, and 470426240.",Confirmed records: 1; Potential leads: 2; Related gaps: 4; Search terms: bangladesh; zia; khaleda; milam; sri lanka; maldives,compiler-chapter-matrix.md; compiler-gap-analysis.md; compiler-gap-packets.md,,,
